,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
IL1B,-2.8306750593433025,-3.6464428066069474,0.04816717509742917,-0.4807254628794286,4.187750143154506,1.4378664622365267
IL1RN,0.4618521890502624,0.5217280741576115,2.876308698659477,1.492631610803031,2.691251417615158,1.7624201325086886
IL32,0.07113604275473935,0.7595135547177003,0.5419102634115359,0.33143253854163673,1.3207730727970397,0.5924001113305811
IL6,,,,,,
IL6R,-2.087380749101,-0.028679378990897245,-2.0316519175196324,-2.0043625791230797,0.12536031190124503,-2.4219531421918497
IL7,0,inf,0,inf,inf,inf
ITGB2,1.9586400002433713,inf,2.0269081920887264,0.5422777190601935,0.6728570274336442,0.9328181543946128
STAT6,-0.17121318510383182,0.1315243735628533,1.2016351714727875,0.42786748322241513,1.0270535257250113,0.5166259346430495
TGFB1,0.43342760491088494,0.02109937672402333,-4.452631920738439,-1.9433272582052379,-2.651761132745912,-1.4606452980713964
TGFB2,2.023103495824712,1.014307369120394,inf,inf,inf,inf
TGFBI,1.0797775121531374,0.7213132740779498,-0.17945474894574942,0.43498779140881455,-0.05340566042304949,0.7529091609203388
TGFBR1,1.2444573036723847,0.5951291315680087,0.5083413953511159,0.6697264122655548,1.5896209872533695,0.9728383798790364
TGFBR2,0.813109479870139,0.6848365900293855,0.7443859043036941,0.627103022432742,1.6574475445515964,0.7039376161601629
TNF,1.3470632288496718,1.3556545727324074,inf,inf,inf,inf
TNFAIP1,1.6107773703645771,-0.06567226910716131,2.0438825009691275,0.9052070824970877,1.1330254560826174,0.7548292869820495
TNFAIP2,0.46507539119763136,0.6264126404293037,0.9834268792359182,0.4333650708712237,1.3440975754883222,0.8485929451827764
TNFAIP3,-0.024078858809992346,0.2864962991930143,1.047903448644282,0.094233845323886,2.3928614688115695,1.191115218460855
TNFRSF10B,0.407971471894076,0.3646443648700466,0.44123415471545074,-0.30751932410521804,0.7959387120245103,0.509016277403606
TNFRSF10C,-1.0688368561365815,0.16733873839527702,1.3018226051584334,-0.48869268732223303,-0.2830212841690531,-0.2797227600243885
TNFRSF10D,0.5885720822192526,-0.7006358937651875,-0.2768696979217417,-0.6875088203666939,0.8174382845437931,0.06859835319061915
TNFSF10,-0.23484893636035659,0.9163139499759968,-0.9059261123086563,-0.35346198777817145,0.6625644078447018,1.2250323794048983
TNFSF14,0.41503729106888904,2.8420875110581836,inf,1.398006574646269,1.7878417990367905,2.2000086347459753
TNS4,0.6887801251450273,-0.4196775887406768,-0.035545105122374014,0.644114025810227,0.23524287428737442,0.8469568096189193
SERPINB1,0.4749085540086855,0.29496646580488944,1.364222269610535,0.2645721737240129,2.2480320192880097,0.5672144506562748
MSN,1.4150374988242411,2.5992697509639635,-2.982166062231603,0.5086540815053089,-2.1812950187481395,0.23570480907758298
TRIM27,0.3839463095786303,0.185259035584409,0.946708084886106,0.7146689960175207,1.714758641155669,1.0002495417556323
BST1,-0.46789911884292884,2.5040041031613125,-0.39311459730331894,-3.3971161428728713,-0.5922435525807415,-2.6895922194416104
ENOSF1,0.2795778050321123,0.7633864002629636,1.0535889581128164,1.0309280841676716,1.5432409732950314,1.111299811026079
ARHGEF26,1.0799543603944597,-0.06459189490921022,1.2187237547457124,1.1927359968213884,2.4320126093420504,0.4604915289079422
CDH3,-0.4503540325434392,0.012015183691780102,-0.10585458072188599,-0.1475418986020032,0.46659234956445517,0.03779954641094424
CD44,0.04306282860523198,0.07236471154457236,0.2559519023621696,0.4798737068507305,0.6755865107705259,0.7552783696249625
ITGA3,-0.13545491498771509,0.8466190533703325,0.8227246167305012,0.7724580371715143,0.7153600332549725,0.46190246104905985
ITGAL,inf,0,inf,inf,inf,inf
RHOG,0.13088311450282025,0.5598669351909686,0.9811085099614995,0.6183207828590644,0.43503103840638724,0.5298949606833177
DNM1L,0.8176725355631711,0.5867372308181115,1.1772072961785212,0.5206775973649714,1.682538468657528,0.9375811473810839
RIPK1,0.3868170011059406,0.7547288085134671,1.5965162569154436,0.6991047061815242,1.2961137163381193,1.2388106198636009
IKBKG,0.5109456846293,0.8250365870408914,0.8140109946329785,0.28149120250270265,0.6301387066855741,0.17086168418891665
PNRC1,-0.2758750162309679,-0.05015700552537298,-0.5012315750316053,-0.8809467763921376,-0.48587686314083267,-0.7003859598519844
HLA-DQA2,inf,inf,0,0,0,0
HHLA2,-1.1312474382084838,0.2763794924076513,-0.6828026503436821,-0.8131450037037261,0.12201330649003365,-1.0800622696550886
HLA-A,0.05584384832409266,0.6784702066566464,-0.37789373678814697,-0.4554464068565429,-0.12253767372011184,-0.11768712232708509
HLA-B,0.7764825031002726,1.5600621789617557,-0.21950408372125538,-0.7405687430676006,0.46172292461356057,0.49603907921086615
HLA-DOB,0,0,0,0,inf,0
HLA-DRB1,0.8893007667537369,2.916061637623587,-2.2852541372573443,0.923807331226803,-1.4843830937738816,-1.666892999515382
HLA-E,0.1760808574469767,0.9601646543424106,-0.006380719934082335,-0.4612594976276012,0.7859123930782663,0.14827530445989368
HLA-F,0.5882295929789962,1.5610245456925491,0.09765972513358373,-0.7028713414400396,0.6182707011736112,0.5862136253869271
HLA-F-AS1,-0.6899303016573732,-2.5115087068204907,-3.699217139938227,-1.5668670424961282,1.0191269606353344,-4.732660356863852
HLA-G,-1.103586158276049,-2.1254304788454292,-3.398894768942926,-3.43954769097652,-3.2295540016186353,-4.269964269106172
HLA-H,0.014990307055954692,1.376008163441154,-0.8324263378026744,0.8312506279404523,-1.1690588164713773,0.022056905809046536
HLA-J,-1.2857087934412665,-0.5028694786025857,-0.9751252629336065,-1.480700510479654,-3.382372224329682,-0.38632181018368467
HLA-L,0,0,inf,0,0,0
IFI30,0.2360578310949174,0.732029516324701,0.28653132009034127,0.34345745087332064,1.4266634405948457,0.5604137955460321
FGFR1,1.555858354563826,2.7446464413112928,0.14857321576420232,0.20872242727176074,-0.18661679686266744,0.7021791602999286
FGFR2,-0.04181866355032175,-0.3037315968900678,-0.9217450238014128,-0.2434461217183015,0.3006084989532611,-0.22642662251478957
FOS,-0.045830886849677274,0.18485673622237944,1.4749439603140444,-0.5497743887202559,2.0844818002034087,-0.37495777248135753
ICAM1,0.7510652994761866,1.7703326064017104,-2.5671285635113135,-1.5880178018017375,-0.31970783291748606,-0.6094001702098679
JUN,0.9094558804362937,0.1273442971497658,1.4457883020211768,0.22294609722491326,3.5219195700387096,0.9543960690205138
JUNB,1.053907407470902,0.5884606292488295,1.5256165382232776,-0.6793764044952106,2.5178867207430695,-0.04546152583721272
JUND,-0.0950080988244388,0.5931624018096202,0.7362102122326578,0.45217158562656207,1.1146149466383872,0.672588189407498
MAP3K8,-0.6755834662662725,0.7086590455724185,0.10285529242335216,0.023069092453522854,2.2396647475417075,-0.31863104322266467
CCL2,0.0465584337406328,0.7548974488337122,-0.127862776964228,-1.644701860848649,0.6730082678709965,0.052832952794043445
CCL20,-0.8469594805986665,-0.03161246748908353,1.5571872619520901,-0.40274629463789297,2.4757963953460544,0.39738458283822403
